mask,blocks,first_source,cells,area,wns,tns,power_w,reward
0x0000,16,random_pilot,310,365.75,7.57505,0,4.70369e-05,75.38475
0x0001,1-15,single_split,361,436.772,7.34182,0,5.66171e-05,72.981428
0x0002,2-14,single_split,327,396.34,7.38636,0,5.26939e-05,73.46726
0x0004,3-13,single_split,366,431.186,7.32948,0,5.44947e-05,72.863614
0x0008,4-12,single_split,314,389.956,7.44202,0,5.20329e-05,74.030244
0x0010,5-11,single_split,282,360.962,7.47078,0,4.93161e-05,74.346838
0x0020,6-10,single_split,303,360.696,7.49698,0,4.79916e-05,74.609104
0x0040,7-9,single_split,279,348.992,7.48834,0,4.63468e-05,74.534408
0x0080,8-8,random_pilot,283,341.278,7.52156,0,4.64928e-05,74.874322
0x0100,9-7,single_split,286,334.362,7.53666,0,4.46281e-05,75.032238
0x01d8,4-1-2-1-1-7,online_evolution,301,363.622,7.45741,0,4.77187e-05,74.210478
0x01f8,4-1-1-1-1-1-7,online_evolution,327,403.788,7.4793,0,5.23337e-05,74.389212
0x01fa,2-2-1-1-1-1-1-7,online_evolution,325,399.798,7.35292,0,5.17491e-05,73.129402
0x0200,10-6,single_split,279,349.524,7.55682,0,4.7289e-05,75.218676
0x0284,3-5-2-6,random_pilot,313,395.276,7.43181,0,5.09881e-05,73.922824
0x0400,11-5,single_split,306,360.696,7.52475,0,4.57282e-05,74.886804
0x0569,1-3-2-1-2-2-5,random_pilot,277,356.174,7.43528,0,4.74975e-05,73.996626
0x0800,12-4,single_split,281,329.308,7.50794,0,4.29427e-05,74.750092
0x0888,4-4-4-4,random_pilot,294,361.76,7.49215,0,4.75639e-05,74.55974
0x0900,9-3-4,model_guided,305,371.336,7.49716,0,4.77271e-05,74.600264
0x0969,1-3-2-1-2-3-4,online_random,291,358.036,7.35354,0,4.78737e-05,73.177364
0x0a00,10-2-4,model_guided,283,335.958,7.51404,0,4.49765e-05,74.804442
0x0ba4,3-3-2-1-1-2-4,online_random,261,338.352,7.37594,0,4.55338e-05,73.421048
