mask,blocks,functional,formal,routed,cells,area,wns,tns,power_w,runtime_s,reward
0x3dc2,2-5-1-1-2-1-1-1-2,True,True,True,315,386.498,7.3273,0,5.02665e-05,23.452,72.886502
0x0000,16,True,True,True,310,365.75,7.57505,0,4.70369e-05,22.751,75.38475
0x73e6,2-1-3-1-1-1-1-3-1-1-1,True,True,True,312,380.912,7.32336,0,4.82801e-05,23.308,72.852688
0x58bc,3-1-1-1-2-4-1-2-1,True,True,True,304,381.71,7.41758,0,5.14532e-05,22.285,73.79409
0x7fff,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,True,True,True,350,414.694,7.37894,0,5.19991e-05,22.827,73.374706
0x58cc,3-1-3-1-4-1-2-1,True,True,True,281,351.12,7.40918,0,4.74177e-05,22.859,73.74068
0x47bf,1-1-1-1-1-1-2-1-1-1-4-1,True,True,True,336,408.842,7.36785,0,5.09997e-05,24.065,73.269658
0x68f4,3-2-1-1-1-4-2-1-1,True,True,True,291,365.218,7.272,0,4.70084e-05,23.948,72.354782
0x0284,3-5-2-6,True,True,True,313,395.276,7.43181,0,5.09881e-05,23.244,73.922824
0x2061,1-5-1-7-2,True,True,True,314,385.168,7.43015,0,5.16578e-05,23.981,73.916332
0x20b2,2-3-1-2-6-2,True,True,True,266,338.884,7.3656,0,4.63279e-05,22.551,73.317116
0x0080,8-8,True,True,True,283,341.278,7.52156,0,4.64928e-05,23.348,74.874322
0x0888,4-4-4-4,True,True,True,294,361.76,7.49215,0,4.75639e-05,23.147,74.55974
0x0569,1-3-2-1-2-2-5,True,True,True,277,356.174,7.43528,0,4.74975e-05,22.906,73.996626
0x2aaa,2-2-2-2-2-2-2-2,True,True,True,290,365.75,7.34996,0,4.91895e-05,24.118,73.13385
0x702b,1-1-2-2-7-1-1-1,True,True,True,304,364.42,7.28416,0,4.74962e-05,23.802,72.47718
