split,mask,blocks,cells,area,wns,tns,power_w,reward,cache_hit
0,0x0000,16,310,365.75,7.57505,0,4.70369e-05,75.38475,True
1,0x0001,1-15,361,436.772,7.34182,0,5.66171e-05,72.981428,False
2,0x0002,2-14,327,396.34,7.38636,0,5.26939e-05,73.46726,False
3,0x0004,3-13,366,431.186,7.32948,0,5.44947e-05,72.863614,False
4,0x0008,4-12,314,389.956,7.44202,0,5.20329e-05,74.030244,False
5,0x0010,5-11,282,360.962,7.47078,0,4.93161e-05,74.346838,False
6,0x0020,6-10,303,360.696,7.49698,0,4.79916e-05,74.609104,False
7,0x0040,7-9,279,348.992,7.48834,0,4.63468e-05,74.534408,False
8,0x0080,8-8,283,341.278,7.52156,0,4.64928e-05,74.874322,True
9,0x0100,9-7,286,334.362,7.53666,0,4.46281e-05,75.032238,False
10,0x0200,10-6,279,349.524,7.55682,0,4.7289e-05,75.218676,False
11,0x0400,11-5,306,360.696,7.52475,0,4.57282e-05,74.886804,False
12,0x0800,12-4,281,329.308,7.50794,0,4.29427e-05,74.750092,False
13,0x1000,13-3,288,329.574,7.55729,0,4.33591e-05,75.243326,False
14,0x2000,14-2,305,347.928,7.56904,0,4.51988e-05,75.342472,False
15,0x4000,15-1,303,356.44,7.56898,0,4.55611e-05,75.33336,False
