algorithm,budget,query_mask,query_blocks,query_reward,incumbent_mask,incumbent_reward,improvement_over_seed,frontier_size,query_on_frontier,frontier_changed
random,1,0x3de2a0,"(6, 2, 2, 4, 1, 1, 1, 2, 1, 1, 1, 2)",71.856844,0x000000,74.655664,0.0,1,False,False
random,2,0x096900,"(9, 3, 2, 1, 2, 3, 4)",73.356756,0x000000,74.655664,0.0,1,False,False
random,3,0x30c10a,"(2, 2, 5, 6, 1, 5, 1, 2)",72.816154,0x000000,74.655664,0.0,1,False,False
random,4,0x13e95e,"(2, 1, 1, 1, 2, 2, 3, 2, 1, 1, 1, 1, 3, 3)",70.869964,0x000000,74.655664,0.0,1,False,False
random,5,0x0ba459,"(1, 3, 1, 2, 4, 3, 2, 1, 1, 2, 4)",70.895724,0x000000,74.655664,0.0,1,False,False
random,6,0x2851d5,"(1, 2, 2, 2, 1, 1, 4, 2, 5, 2, 2)",70.605348,0x000000,74.655664,0.0,1,False,False
random,7,0x610cb1,"(1, 4, 1, 2, 3, 1, 5, 5, 1, 1)",71.702754,0x000000,74.655664,0.0,1,False,False
random,8,0x594e48,"(4, 3, 3, 1, 1, 3, 2, 3, 1, 2, 1)",72.25126,0x000000,74.655664,0.0,1,False,False
random,9,0x3025ba,"(2, 2, 1, 1, 2, 1, 2, 3, 7, 1, 2)",72.08061,0x000000,74.655664,0.0,1,False,False
random,10,0x54a703,"(1, 1, 7, 1, 1, 3, 2, 3, 2, 2, 1)",72.146064,0x000000,74.655664,0.0,1,False,False
random,11,0x53ba50,"(5, 2, 3, 2, 1, 1, 2, 1, 1, 3, 2, 1)",72.037146,0x000000,74.655664,0.0,1,False,False
random,12,0x12070a,"(2, 2, 5, 1, 1, 7, 3, 3)",72.087608,0x000000,74.655664,0.0,1,False,False
random,13,0x5b9741,"(1, 6, 2, 1, 1, 2, 3, 1, 1, 2, 1, 2, 1)",70.424588,0x000000,74.655664,0.0,1,False,False
random,14,0x496ba3,"(1, 1, 4, 2, 1, 1, 2, 2, 1, 2, 3, 3, 1)",71.339432,0x000000,74.655664,0.0,1,False,False
random,15,0x11c768,"(4, 2, 1, 2, 1, 1, 4, 1, 1, 4, 3)",72.510978,0x000000,74.655664,0.0,1,False,False
random,16,0x67d4f7,"(1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 3, 1, 1)",70.295958,0x000000,74.655664,0.0,1,False,False
evolution,1,0x400020,"(6, 17, 1)",72.145578,0x000000,74.655664,0.0,1,False,False
evolution,2,0x008200,"(10, 6, 8)",74.327668,0x000000,74.655664,0.0,1,False,False
evolution,3,0x100000,"(21, 3)",74.69239,0x100000,74.69239,0.03672600000000159,2,True,True
evolution,4,0x524000,"(15, 3, 3, 2, 1)",74.204238,0x100000,74.69239,0.03672600000000159,2,False,False
evolution,5,0x180000,"(20, 1, 3)",74.284768,0x100000,74.69239,0.03672600000000159,2,False,False
evolution,6,0x028000,"(16, 2, 6)",74.070536,0x100000,74.69239,0.03672600000000159,2,False,False
evolution,7,0x008020,"(6, 10, 8)",72.340452,0x100000,74.69239,0.03672600000000159,2,False,False
evolution,8,0x500000,"(21, 2, 1)",74.513446,0x100000,74.69239,0.03672600000000159,3,True,True
evolution,9,0x028002,"(2, 14, 2, 6)",72.047476,0x100000,74.69239,0.03672600000000159,3,False,False
evolution,10,0x108000,"(16, 5, 3)",73.968972,0x100000,74.69239,0.03672600000000159,4,True,True
evolution,11,0x028400,"(11, 5, 2, 6)",72.919572,0x100000,74.69239,0.03672600000000159,4,False,False
evolution,12,0x020080,"(8, 10, 6)",73.27928,0x100000,74.69239,0.03672600000000159,4,False,False
evolution,13,0x190820,"(6, 6, 5, 3, 1, 3)",72.711164,0x100000,74.69239,0.03672600000000159,4,False,False
evolution,14,0x180021,"(1, 5, 14, 1, 3)",71.620342,0x100000,74.69239,0.03672600000000159,4,False,False
evolution,15,0x000810,"(5, 7, 12)",72.452966,0x100000,74.69239,0.03672600000000159,4,False,False
evolution,16,0x525c9e,"(2, 1, 1, 1, 3, 3, 1, 1, 2, 3, 3, 2, 1)",72.251464,0x100000,74.69239,0.03672600000000159,4,False,False
claude_structural,1,0x400000,"(23, 1)",74.526482,0x000000,74.655664,0.0,1,False,False
claude_structural,2,0x000001,"(1, 23)",72.164888,0x000000,74.655664,0.0,1,False,False
claude_structural,3,0x200000,"(22, 2)",74.398526,0x000000,74.655664,0.0,1,False,False
claude_structural,4,0x100000,"(21, 3)",74.69239,0x100000,74.69239,0.03672600000000159,2,True,True
claude_structural,5,0x080000,"(20, 4)",74.452628,0x100000,74.69239,0.03672600000000159,2,False,False
claude_structural,6,0x108000,"(16, 5, 3)",73.968972,0x100000,74.69239,0.03672600000000159,3,True,True
claude_structural,7,0x040000,"(19, 5)",74.313442,0x100000,74.69239,0.03672600000000159,3,False,False
claude_structural,8,0x120000,"(18, 3, 3)",74.170552,0x100000,74.69239,0.03672600000000159,3,False,False
claude_structural,9,0x500000,"(21, 2, 1)",74.513446,0x100000,74.69239,0.03672600000000159,4,True,True
claude_structural,10,0x300000,"(21, 1, 2)",74.591642,0x100000,74.69239,0.03672600000000159,4,True,True
claude_structural,11,0x480000,"(20, 3, 1)",74.647306,0x100000,74.69239,0.03672600000000159,5,True,True
claude_structural,12,0x600000,"(22, 1, 1)",73.837544,0x100000,74.69239,0.03672600000000159,5,False,False
claude_structural,13,0x180000,"(20, 1, 3)",74.284768,0x100000,74.69239,0.03672600000000159,5,False,False
claude_structural,14,0x104000,"(15, 6, 3)",73.98124,0x100000,74.69239,0.03672600000000159,5,False,False
claude_structural,15,0x000004,"(3, 21)",72.225956,0x100000,74.69239,0.03672600000000159,5,False,False
claude_structural,16,0x110000,"(17, 4, 3)",73.723484,0x100000,74.69239,0.03672600000000159,5,False,False
