algorithm,budget,query_mask,query_boundaries,query_area,query_wns,query_reward,incumbent_mask,incumbent_reward,improvement_over_seed,frontier_size,query_on_frontier,frontier_changed
random,1,0x3de2a0c0,13,733.362,7.01177,69.384338,0x00000000,74.15097,0.0,5,True,True
random,2,0x09690093,10,781.508,7.1891,71.109492,0x00000000,74.15097,0.0,5,False,False
random,3,0x30c10a5c,11,747.992,7.20575,71.309508,0x00000000,74.15097,0.0,5,False,False
random,4,0x13e95e73,18,751.184,6.90284,68.277216,0x00000000,74.15097,0.0,5,False,False
random,5,0x0ba4596a,14,746.662,6.90754,68.328738,0x00000000,74.15097,0.0,5,False,False
random,6,0x2851d5ed,16,782.04,7.11275,70.34546,0x00000000,74.15097,0.0,5,False,False
random,7,0x610cb1e8,13,776.72,7.16028,70.82608,0x00000000,74.15097,0.0,5,False,False
random,8,0x594e4876,15,769.804,6.98431,69.073296,0x00000000,74.15097,0.0,5,False,False
random,9,0x3025bad0,13,736.554,7.17508,71.014246,0x00000000,74.15097,0.0,5,False,False
random,10,0x54a703a7,15,746.662,7.11922,70.445538,0x00000000,74.15097,0.0,5,False,False
random,11,0x53ba5095,15,753.312,7.06024,69.849088,0x00000000,74.15097,0.0,5,False,False
random,12,0x12070ae7,13,750.918,7.14127,70.661782,0x00000000,74.15097,0.0,5,False,False
random,13,0x5b97414c,15,754.908,6.9073,68.318092,0x00000000,74.15097,0.0,5,False,False
random,14,0x496ba3da,17,749.322,6.92802,68.530878,0x00000000,74.15097,0.0,5,False,False
random,15,0x11c7684b,14,758.1,7.26479,71.8898,0x00000000,74.15097,0.0,5,False,False
random,16,0x67d4f77f,23,802.788,6.86423,67.839512,0x00000000,74.15097,0.0,5,False,False
evolution,1,0x08400000,2,716.338,7.38287,73.112362,0x00000000,74.15097,0.0,2,True,True
evolution,2,0x00800004,2,823.536,7.14825,70.658964,0x00000000,74.15097,0.0,2,False,False
evolution,3,0x480000c0,4,767.41,7.21899,71.42249,0x00000000,74.15097,0.0,2,False,False
evolution,4,0x32b6ef77,21,792.946,7.01211,69.328154,0x00000000,74.15097,0.0,2,False,False
evolution,5,0x00848080,4,726.978,7.2926,72.199022,0x00000000,74.15097,0.0,2,False,False
evolution,6,0x00082000,2,769.272,7.39367,73.167428,0x00000000,74.15097,0.0,2,False,False
evolution,7,0x3024de74,14,726.18,7.17946,71.06842,0x00000000,74.15097,0.0,2,False,False
evolution,8,0x08408000,3,735.49,7.41135,73.37801,0x00000000,74.15097,0.0,3,True,True
evolution,9,0x00010000,1,732.564,7.38146,73.082036,0x00000000,74.15097,0.0,3,False,False
evolution,10,0x00c00040,3,784.966,7.2006,71.221034,0x00000000,74.15097,0.0,3,False,False
