benchmark,stage,designs,spearman_rho,kendall_tau,top1_is_true_best,true_best_kept_at_25pct,top5_recall_at_25pct,median_cum_time_frac
addpipe16,synth,113,0.0531,0.0415,False,True,0.2,0.0669
addpipe16,floorplan,113,0.991,0.9336,False,True,1.0,0.1539
addpipe16,global_place,113,0.9987,0.9772,True,True,1.0,0.263
addpipe16,detailed_place,113,0.9992,0.9835,True,True,1.0,0.3173
addpipe16,cts,113,0.9997,0.9908,False,True,1.0,0.3925
addpipe16,global_route,113,0.9986,0.9753,False,True,1.0,0.4977
addpipe24,synth,68,0.1513,0.1086,False,False,0.2,0.068
addpipe24,floorplan,68,0.9788,0.8942,False,True,1.0,0.1482
addpipe24,global_place,68,0.9975,0.9734,True,True,1.0,0.2547
addpipe24,detailed_place,68,0.9986,0.9769,False,True,1.0,0.3073
addpipe24,cts,68,0.9992,0.9857,True,True,1.0,0.3806
addpipe24,global_route,68,0.9968,0.9655,False,True,1.0,0.488
addpipe32,synth,70,0.1317,0.0809,False,False,0.0,0.0687
addpipe32,floorplan,70,0.9877,0.917,False,True,1.0,0.1422
addpipe32,global_place,70,0.9992,0.9843,True,True,1.0,0.2446
addpipe32,detailed_place,70,0.9995,0.9901,True,True,1.0,0.2982
addpipe32,cts,70,0.9995,0.9917,True,True,1.0,0.3684
addpipe32,global_route,70,0.9995,0.9901,True,True,1.0,0.4862
addpipe36,synth,83,0.2009,0.1432,False,False,0.6,0.0705
addpipe36,floorplan,83,0.9843,0.9052,True,True,1.0,0.1427
addpipe36,global_place,83,0.9973,0.9712,True,True,1.0,0.248
addpipe36,detailed_place,83,0.9985,0.9788,True,True,1.0,0.2991
addpipe36,cts,83,0.9989,0.9818,True,True,1.0,0.3676
addpipe36,global_route,83,0.9981,0.9759,True,True,1.0,0.4909
addpipe40,synth,81,0.2186,0.1587,False,False,0.2,0.0721
addpipe40,floorplan,81,0.9846,0.9079,True,True,1.0,0.1424
addpipe40,global_place,81,0.9974,0.9691,False,True,1.0,0.2474
addpipe40,detailed_place,81,0.9982,0.9741,True,True,1.0,0.3007
addpipe40,cts,81,0.9991,0.9846,True,True,1.0,0.3707
addpipe40,global_route,81,0.9991,0.9833,True,True,1.0,0.4905
addpipe48,synth,86,0.1476,0.1027,False,False,0.2,0.0735
addpipe48,floorplan,86,0.9816,0.9005,True,True,1.0,0.1387
addpipe48,global_place,86,0.9978,0.9705,True,True,1.0,0.2417
addpipe48,detailed_place,86,0.9984,0.9737,True,True,1.0,0.2936
addpipe48,cts,86,0.9982,0.9743,True,True,1.0,0.359
addpipe48,global_route,86,0.9978,0.9721,True,True,1.0,0.487
addpipe56,synth,84,0.0227,0.0419,False,False,0.4,0.0748
addpipe56,floorplan,84,0.9842,0.9063,False,True,1.0,0.1365
addpipe56,global_place,84,0.9971,0.9673,False,True,1.0,0.238
addpipe56,detailed_place,84,0.9973,0.9765,True,True,1.0,0.2892
addpipe56,cts,84,0.9976,0.9707,True,True,1.0,0.3506
addpipe56,global_route,84,0.9976,0.9736,True,True,1.0,0.4796
addpipe8,synth,69,-0.638,-0.4557,False,False,0.0,0.0711
addpipe8,floorplan,69,0.994,0.9711,True,True,1.0,0.1761
addpipe8,global_place,69,1.0,1.0,True,True,1.0,0.2957
addpipe8,detailed_place,69,1.0,1.0,True,True,1.0,0.3536
addpipe8,cts,69,1.0,1.0,True,True,1.0,0.4404
addpipe8,global_route,69,0.9872,0.9349,True,True,1.0,0.5317
cmp32,synth,152,-0.1202,-0.0844,False,False,0.2,0.0759
cmp32,floorplan,152,0.9053,0.7436,True,True,1.0,0.1786
cmp32,global_place,152,0.9689,0.8553,True,True,1.0,0.3107
cmp32,detailed_place,152,0.9719,0.8689,True,True,1.0,0.3719
cmp32,cts,152,0.973,0.8696,True,True,1.0,0.46
cmp32,global_route,152,0.975,0.8749,False,True,1.0,0.5466
lanesum16x8_tree,synth,14,0.2659,0.1868,True,True,0.6,0.0777
lanesum16x8_tree,floorplan,14,0.7099,0.6044,False,True,0.4,0.1479
lanesum16x8_tree,global_place,14,0.9604,0.8901,True,True,0.8,0.2612
lanesum16x8_tree,detailed_place,14,0.9824,0.9341,True,True,0.8,0.3183
lanesum16x8_tree,cts,14,0.9868,0.956,True,True,0.8,0.3919
lanesum16x8_tree,global_route,14,0.9604,0.8901,True,True,0.8,0.4999
popcount16_tree,synth,105,-0.2623,-0.1529,False,False,0.2,0.0713
popcount16_tree,floorplan,105,0.9384,0.812,True,True,1.0,0.1743
popcount16_tree,global_place,105,0.9877,0.9251,True,True,1.0,0.2987
popcount16_tree,detailed_place,105,0.9893,0.9307,True,True,1.0,0.3563
