benchmark,evaluation_id,synth_area,synth_wns,synth_cum_s,floorplan_area,floorplan_wns,floorplan_cum_s,global_place_area,global_place_wns,global_place_cum_s,detailed_place_area,detailed_place_wns,detailed_place_cum_s,cts_area,cts_wns,cts_cum_s,global_route_area,global_route_wns,global_route_cum_s,final_area,final_wns,final_cum_s,final_reward
addpipe8,018cc2daef607348,124.222,,0.63,124.222,7.54539,1.55,152.418,7.50471,2.6,152.418,7.50137,3.1,157.206,7.49322,3.87,157.206,7.48439,4.62,157.206,7.49696,8.68,74.812394
addpipe8,0261fda457d27846,141.246,,0.66,141.246,7.61925,1.59,171.304,7.58562,2.67,171.304,7.5816,3.2,176.092,7.57112,3.98,176.092,7.56842,4.85,176.092,7.57203,9.15,75.544208
addpipe8,033e3fb0c84a2b85,131.404,,0.66,131.404,7.65667,1.57,163.324,7.6211,2.64,163.324,7.61837,3.15,168.112,7.60846,3.91,168.112,7.59573,4.67,168.112,7.60849,8.78,75.916788
addpipe8,06502e2982eae7f7,105.07,,0.61,105.07,7.38465,1.55,134.064,7.34198,2.58,134.064,7.34069,3.09,138.852,7.33133,3.84,138.852,7.32492,4.65,138.852,7.33351,8.76,73.196248
addpipe8,0a1f4021ec3ced78,149.492,,0.66,149.492,7.66675,1.61,173.698,7.62572,2.72,173.698,7.62611,3.25,178.486,7.61795,4.05,178.486,7.61511,4.87,178.486,7.61822,9.31,76.003714
addpipe8,0b3f4de7fac2528e,119.168,,0.64,119.168,7.69458,1.59,146.3,7.65849,2.64,146.3,7.65584,3.17,151.088,7.64688,3.94,151.088,7.64444,4.78,151.088,7.64862,9.17,76.335112
addpipe8,10f5785020421fe0,131.404,,0.64,131.404,7.65667,1.57,163.324,7.6211,2.64,163.324,7.61837,3.17,168.112,7.60846,3.95,168.112,7.59573,4.72,168.112,7.60849,8.87,75.916788
addpipe8,122c14878ded,124.222,,0.63,124.222,7.54539,1.56,152.418,7.50471,2.61,152.418,7.50137,3.15,157.206,7.49322,3.93,157.206,7.48439,4.69,157.206,7.49696,8.82,74.812394
addpipe8,124f68935eab02af,124.222,,0.63,124.222,7.54539,1.57,152.418,7.50471,2.65,152.418,7.50137,3.18,157.206,7.49322,3.98,157.206,7.48439,4.75,157.206,7.49696,8.93,74.812394
addpipe8,1318dfd1bbca7fae,134.862,,0.66,134.862,7.63068,1.62,164.654,7.58904,2.71,164.654,7.58838,3.24,169.442,7.5778,4.03,169.442,7.56868,5.3,169.442,7.57948,9.89,75.625358
addpipe8,149c07652156eff6,124.222,,0.65,124.222,7.54539,1.6,152.418,7.50471,2.7,152.418,7.50137,3.22,157.206,7.49322,4.02,157.206,7.48439,4.77,157.206,7.49696,8.93,74.812394
addpipe8,192d633479aa1a4f,124.222,,0.64,124.222,7.54539,1.57,152.418,7.50471,2.62,152.418,7.50137,3.13,157.206,7.49322,3.91,157.206,7.48439,4.69,157.206,7.49696,8.78,74.812394
addpipe8,25cda0da9e73f18a,105.07,,0.63,105.07,7.40967,1.57,134.064,7.36361,2.6,134.064,7.36403,3.12,138.852,7.35562,3.89,138.852,7.35236,4.67,138.852,7.35951,8.27,73.456248
addpipe8,2a12b306c89a33a0,150.024,,0.67,150.024,7.67082,1.6,173.432,7.63031,2.7,173.432,7.63094,3.22,178.22,7.62314,4.01,178.22,7.61747,4.85,178.22,7.62411,9.42,76.06288
addpipe8,2e3ad326f97e1704,155.61,,0.68,155.61,7.55771,1.63,181.146,7.52285,2.73,181.146,7.52117,3.27,185.934,7.51219,4.09,185.934,7.50634,5.15,185.934,7.51241,9.78,74.938166
addpipe8,3374bac27e70,105.07,,0.6,105.07,7.38465,1.51,134.064,7.34198,2.54,134.064,7.34069,3.04,138.852,7.33133,3.78,138.852,7.32492,4.54,138.852,7.33351,8.53,73.196248
