benchmark,mask,boundaries,area,wns,reward,discovered_by
cmp32,0x58c80080,7,264.138,7.58995,75.635362,v2_frozen;v2_learn
cmp32,0x00000800,1,264.936,7.62312,75.966264,count_matched_uniform;v2_frozen
cmp32,0x30f80000,7,267.862,7.62456,75.977738,v2_frozen
cmp32,0x7fffff80,24,268.128,7.63719,76.103772,v2_frozen
cmp32,0x7ff8a200,15,268.394,7.63802,76.111806,v2_frozen;v2_learn
cmp32,0x7ffc2020,15,269.458,7.6464,76.194542,v2_learn
cmp32,0x243e969a,15,275.842,7.66002,76.324358,count_matched_uniform
popcount32,0x04803000,4,264.67,7.02172,69.95253,v1_learn
popcount32,0x7fab4801,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x7ffe8000,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x7ffb0800,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x7e800000,7,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x09800000,3,264.67,7.02172,69.95253,v2_frozen
popcount32,0x40000000,1,264.67,7.02172,69.95253,count_matched_uniform;v2_frozen;v2_learn
popcount32,0x7ff8a200,15,264.67,7.02172,69.95253,v2_learn
popcount32,0x58830808,8,264.67,7.02172,69.95253,v1_learn
popcount32,0x30000002,3,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x0011860a,7,264.67,7.02172,69.95253,v1_learn
popcount32,0x7d800000,7,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x2980a804,8,264.67,7.02172,69.95253,v1_learn
popcount32,0x2d810a04,9,264.67,7.02172,69.95253,v1_learn
popcount32,0x00000001,1,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x00080006,3,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x0002ba10,7,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x50011611,8,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x13440003,7,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x0004000c,3,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x2217c018,10,264.67,7.02172,69.95253,v1_learn
popcount32,0x7ffa8400,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x7c808000,7,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x78888000,7,264.67,7.02172,69.95253,v2_frozen
popcount32,0x40208000,3,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x7ffc1040,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x63acec41,15,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x7ffc8800,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x7ffa8800,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x7fda8050,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x7ffc0c00,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x0f0cb467,15,264.67,7.02172,69.95253,count_matched_uniform
popcount32,0x02c68080,7,264.67,7.02172,69.95253,v1_learn
popcount32,0x60982080,7,264.67,7.02172,69.95253,v1_learn
popcount32,0x58c80080,7,264.67,7.02172,69.95253,v2_learn
popcount32,0x50801080,5,264.67,7.02172,69.95253,v1_learn
popcount32,0x19022080,6,264.67,7.02172,69.95253,v1_learn
popcount32,0x69821000,7,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x7ffa8080,15,264.67,7.02172,69.95253,v2_frozen;v2_learn
popcount32,0x00848486,7,264.67,7.02172,69.95253,v1_learn
popcount32,0x028e0288,8,264.67,7.02172,69.95253,v1_learn
popcount32,0x00203288,6,264.67,7.02172,69.95253,v1_learn
popcount32,0x00c10289,7,264.67,7.02172,69.95253,v1_learn
