benchmark,rng_seed,method_a,method_b,delta_a_minus_b,first_a_censored17,first_b_censored17
cmp32,20260923,v2_learn,v2_frozen,-0.01647199999999316,4,4
cmp32,20260923,v2_frozen,count_matched_uniform,-0.28380200000000855,4,15
cmp32,20260923,v2_learn,v1_learn,-0.25837400000000343,4,9
cmp32,20260924,v2_learn,v2_frozen,0.08273599999999703,6,6
cmp32,20260924,v2_frozen,count_matched_uniform,0.052071999999995455,6,2
cmp32,20260924,v2_learn,v1_learn,0.048873999999997864,6,6
cmp32,20260925,v2_learn,v2_frozen,-0.08995600000000081,17,8
cmp32,20260925,v2_frozen,count_matched_uniform,0.08995600000000081,8,17
cmp32,20260925,v2_learn,v1_learn,-0.02047799999999711,17,10
popcount32,20260923,v2_learn,v2_frozen,0.0,17,17
popcount32,20260923,v2_frozen,count_matched_uniform,0.0,17,17
popcount32,20260923,v2_learn,v1_learn,0.0,17,17
popcount32,20260924,v2_learn,v2_frozen,0.0,17,17
popcount32,20260924,v2_frozen,count_matched_uniform,0.0,17,17
popcount32,20260924,v2_learn,v1_learn,0.0,17,17
popcount32,20260925,v2_learn,v2_frozen,0.0,17,17
popcount32,20260925,v2_frozen,count_matched_uniform,0.0,17,17
popcount32,20260925,v2_learn,v1_learn,0.0,17,17
priority32,20260923,v2_learn,v2_frozen,0.0,17,17
priority32,20260923,v2_frozen,count_matched_uniform,0.0,17,17
priority32,20260923,v2_learn,v1_learn,0.0,17,17
priority32,20260924,v2_learn,v2_frozen,0.0,17,17
priority32,20260924,v2_frozen,count_matched_uniform,0.0,17,17
priority32,20260924,v2_learn,v1_learn,0.0,17,17
priority32,20260925,v2_learn,v2_frozen,0.05752599999999575,7,17
priority32,20260925,v2_frozen,count_matched_uniform,0.0,17,17
priority32,20260925,v2_learn,v1_learn,0.05752599999999575,7,17
