benchmark,rng_seed,method,query,mask,boundary_count,status,valid,cache_hit,area,wns,score,incumbent_reward,improvement_over_seed
cmp32,20260923,v1_learn,1,0x04883000,5,success,True,False,274.778,7.58816,75.606822,76.013816,0.0
cmp32,20260923,v1_learn,2,0x028e8288,9,success,True,False,270.788,7.62837,76.012912,76.013816,0.0
cmp32,20260923,v1_learn,3,0x420aa2b2,11,success,True,False,276.906,7.6065,75.788094,76.013816,0.0
cmp32,20260923,v1_learn,4,0x084084aa,8,success,True,False,280.63,7.58449,75.56427,76.013816,0.0
cmp32,20260923,v1_learn,5,0x0a328a8c,11,success,True,False,276.108,7.60949,75.818792,76.013816,0.0
cmp32,20260923,v1_learn,6,0x5a830808,9,success,True,False,275.576,7.59931,75.717524,76.013816,0.0
cmp32,20260923,v1_learn,7,0x000e8188,7,success,True,False,272.916,7.62542,75.981284,76.013816,0.0
cmp32,20260923,v1_learn,8,0x10888380,7,success,True,False,269.724,7.60564,75.786676,76.013816,0.0
cmp32,20260923,v1_learn,9,0x1462a8a6,12,success,True,False,279.566,7.63915,76.111934,76.111934,0.09811799999999948
cmp32,20260923,v1_learn,10,0x02a80989,9,success,True,False,268.394,7.61326,75.864206,76.111934,0.09811799999999948
cmp32,20260923,v1_learn,11,0x0032a288,8,success,True,False,276.906,7.62799,76.002994,76.111934,0.09811799999999948
cmp32,20260923,v1_learn,12,0x02c68088,8,success,True,False,272.384,7.58332,75.560816,76.111934,0.09811799999999948
cmp32,20260923,v1_learn,13,0x11b8d2f0,14,success,True,False,269.724,7.63033,76.033576,76.111934,0.09811799999999948
cmp32,20260923,v1_learn,14,0x026800a0,6,success,True,False,274.512,7.60915,75.816988,76.111934,0.09811799999999948
cmp32,20260923,v1_learn,15,0x0ab08194,10,success,True,False,275.842,7.65583,76.282458,76.282458,0.2686419999999998
cmp32,20260923,v1_learn,16,0x20982090,7,success,True,False,271.852,7.60569,75.785048,76.282458,0.2686419999999998
cmp32,20260923,v2_learn,1,0x10000000,1,success,True,False,275.044,7.61834,75.908356,76.013816,0.0
cmp32,20260923,v2_learn,2,0x00200000,1,success,True,False,276.374,7.58877,75.611326,76.013816,0.0
cmp32,20260923,v2_learn,3,0x00000400,1,success,True,False,285.684,7.60188,75.733116,76.013816,0.0
cmp32,20260923,v2_learn,4,0x7fab2801,15,success,True,False,272.916,7.6297,76.024084,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,5,0x00001000,1,success,True,False,266.266,7.59896,75.723334,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,6,0x7a808000,7,success,True,False,280.098,7.6071,75.790902,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,7,0x7ffe8000,15,success,True,False,276.64,7.58053,75.52866,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,8,0x42800000,3,success,True,False,268.128,7.54286,75.160472,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,9,0x7fed0208,15,success,True,False,272.384,7.60274,75.755016,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,10,0x7fff0000,15,success,True,False,271.054,7.59944,75.723346,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,11,0x66808080,7,success,True,False,272.65,7.60536,75.78095,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,12,0x00100000,1,success,True,False,272.65,7.59744,75.70175,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,13,0x00400000,1,success,True,False,272.118,7.60334,75.761282,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,14,0x04000000,1,success,True,False,274.778,7.61857,75.910922,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,15,0x7ffa8200,15,success,True,False,269.724,7.59465,75.676776,76.024084,0.010267999999996391
cmp32,20260923,v2_learn,16,0x01000000,1,success,True,False,275.31,7.59015,75.62619,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,1,0x10000000,1,success,True,True,275.044,7.61834,75.908356,76.013816,0.0
cmp32,20260923,v2_frozen,2,0x00200000,1,success,True,True,276.374,7.58877,75.611326,76.013816,0.0
cmp32,20260923,v2_frozen,3,0x00000400,1,success,True,True,285.684,7.60188,75.733116,76.013816,0.0
cmp32,20260923,v2_frozen,4,0x7fab2801,15,success,True,True,272.916,7.6297,76.024084,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,5,0x00002000,1,success,True,False,275.044,7.51617,74.886656,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,6,0x09008000,3,success,True,False,276.374,7.59234,75.647026,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,7,0x7ffe8000,15,success,True,True,276.64,7.58053,75.52866,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,8,0x08000000,1,success,True,False,282.492,7.58714,75.588908,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,9,0x7ffb0800,15,success,True,False,269.458,7.56878,75.418342,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,10,0x7fff0000,15,success,True,True,271.054,7.59944,75.723346,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,11,0x7e800000,7,success,True,False,280.364,7.60743,75.793936,76.024084,0.010267999999996391
cmp32,20260923,v2_frozen,12,0x48008000,3,success,True,False,275.044,7.63156,76.040556,76.040556,0.02673999999998955
cmp32,20260923,v2_frozen,13,0x6e800080,7,success,True,False,279.566,7.57733,75.493734,76.040556,0.02673999999998955
cmp32,20260923,v2_frozen,14,0x02000000,1,success,True,False,283.822,7.59983,75.714478,76.040556,0.02673999999998955
cmp32,20260923,v2_frozen,15,0x7ffa8400,15,success,True,False,270.788,7.59405,75.669712,76.040556,0.02673999999998955
cmp32,20260923,v2_frozen,16,0x7fda8028,15,success,True,False,274.512,7.60603,75.785788,76.040556,0.02673999999998955
cmp32,20260923,count_matched_uniform,1,0x40000000,1,success,True,False,267.33,7.60212,75.75387,76.013816,0.0
cmp32,20260923,count_matched_uniform,2,0x00100000,1,success,True,True,272.65,7.59744,75.70175,76.013816,0.0
cmp32,20260923,count_matched_uniform,3,0x00000400,1,success,True,True,285.684,7.60188,75.733116,76.013816,0.0
cmp32,20260923,count_matched_uniform,4,0x0f0cb467,15,success,True,False,266,7.57363,75.4703,76.013816,0.0
cmp32,20260923,count_matched_uniform,5,0x00001000,1,success,True,True,266.266,7.59896,75.723334,76.013816,0.0
cmp32,20260923,count_matched_uniform,6,0x00820800,3,success,True,False,281.96,7.62621,75.98014,76.013816,0.0
cmp32,20260923,count_matched_uniform,7,0x2e074cad,15,success,True,False,281.96,7.61933,75.91134,76.013816,0.0
cmp32,20260923,count_matched_uniform,8,0x01000000,1,success,True,True,275.31,7.59015,75.62619,76.013816,0.0
cmp32,20260923,count_matched_uniform,9,0x00000002,1,success,True,False,275.044,7.56085,75.333456,76.013816,0.0
cmp32,20260923,count_matched_uniform,10,0x50b9163b,15,success,True,False,268.128,7.62054,75.937272,76.013816,0.0
cmp32,20260923,count_matched_uniform,11,0x488084c0,7,success,True,False,273.182,7.57999,75.526718,76.013816,0.0
cmp32,20260923,count_matched_uniform,12,0x00200000,1,success,True,True,276.374,7.58877,75.611326,76.013816,0.0
cmp32,20260923,count_matched_uniform,13,0x00400000,1,success,True,True,272.118,7.60334,75.761282,76.013816,0.0
cmp32,20260923,count_matched_uniform,14,0x10000000,1,success,True,True,275.044,7.61834,75.908356,76.013816,0.0
cmp32,20260923,count_matched_uniform,15,0x243e969a,15,success,True,False,275.842,7.66002,76.324358,76.324358,0.3105419999999981
cmp32,20260923,count_matched_uniform,16,0x0a76e2ac,15,success,True,False,286.216,7.63153,76.029084,76.324358,0.3105419999999981
cmp32,20260924,v1_learn,1,0x089488c6,10,success,True,False,273.98,7.58765,75.60252,76.013816,0.0
cmp32,20260924,v1_learn,2,0x6e8a00c9,12,success,True,False,275.31,7.57357,75.46039,76.013816,0.0
cmp32,20260924,v1_learn,3,0x2277f218,15,success,True,False,270.522,7.53237,75.053178,76.013816,0.0
cmp32,20260924,v1_learn,4,0x0080862a,7,success,True,False,277.97,7.59575,75.67953,76.013816,0.0
cmp32,20260924,v1_learn,5,0x09900a81,8,success,True,False,276.108,7.59946,75.718492,76.013816,0.0
cmp32,20260924,v1_learn,6,0x008405e8,8,success,True,False,279.832,7.64255,76.145668,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,7,0x08a08c86,9,success,True,False,269.458,7.62153,75.945842,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,8,0x098809aa,10,success,True,False,272.384,7.59731,75.700716,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,9,0x2d890a24,11,success,True,False,279.034,7.59961,75.717066,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,10,0x00a002a0,5,success,True,False,271.852,7.5253,74.981148,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,11,0x2802852a,9,success,True,False,275.044,7.59275,75.652456,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,12,0x18802802,6,success,True,False,279.566,7.53767,75.097134,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,13,0x20c68902,9,success,True,False,277.438,7.62094,75.931962,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,14,0x0cc02e80,9,success,True,False,269.99,7.53164,75.04641,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,15,0x088a84c9,10,success,True,False,270.522,7.62653,75.994778,76.145668,0.13185199999999497
cmp32,20260924,v1_learn,16,0x40c987aa,13,success,True,False,270.522,7.58845,75.613978,76.145668,0.13185199999999497
cmp32,20260924,v2_learn,1,0x7fe3c080,15,success,True,False,268.66,7.61227,75.85404,76.013816,0.0
cmp32,20260924,v2_learn,2,0x7ffc0c00,15,success,True,False,271.586,7.59822,75.710614,76.013816,0.0
cmp32,20260924,v2_learn,3,0x04000000,1,success,True,True,274.778,7.61857,75.910922,76.013816,0.0
cmp32,20260924,v2_learn,4,0x00000008,1,success,True,False,288.61,7.58648,75.57619,76.013816,0.0
cmp32,20260924,v2_learn,5,0x7d800000,7,success,True,False,270.256,7.59878,75.717544,76.013816,0.0
cmp32,20260924,v2_learn,6,0x7ff8a200,15,success,True,False,268.394,7.63802,76.111806,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,7,0x7ffa8100,15,success,True,False,277.704,7.62797,76.001996,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,8,0x7ffe8000,15,success,True,True,276.64,7.58053,75.52866,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,9,0x58c80080,7,success,True,False,264.138,7.58995,75.635362,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,10,0x7ffe0080,15,success,True,False,272.384,7.54055,75.133116,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,11,0x7ffa8040,15,success,True,False,277.97,7.60581,75.78013,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,12,0x7e800000,7,success,True,True,280.364,7.60743,75.793936,76.111806,0.0979899999999958
cmp32,20260924,v2_learn,13,0x7ffc2020,15,success,True,False,269.458,7.6464,76.194542,76.194542,0.18072599999999284
