benchmark,rng_seed,method,queries,valid_queries,cache_hits,first_improvement,first_improvement_censored17,mean_boundaries,seed_reward,final_reward,final_improvement,best_mask
cmp32,20260923,v1_learn,16,16,0,9,9,8.8125,76.013816,76.282458,0.2686419999999998,0x0ab08194
cmp32,20260923,v2_learn,16,16,0,4,4,6.25,76.013816,76.024084,0.010267999999996391,0x7fab2801
cmp32,20260923,v2_frozen,16,16,6,4,4,7.25,76.013816,76.040556,0.02673999999998955,0x48008000
cmp32,20260923,count_matched_uniform,16,16,7,15,15,5.875,76.013816,76.324358,0.3105419999999981,0x243e969a
cmp32,20260924,v1_learn,16,16,0,6,6,9.4375,76.013816,76.145668,0.13185199999999497,0x008405e8
cmp32,20260924,v2_learn,16,16,4,6,6,10.375,76.013816,76.194542,0.18072599999999284,0x7ffc2020
cmp32,20260924,v2_frozen,16,16,11,6,6,10.125,76.013816,76.111806,0.0979899999999958,0x7ff8a200
cmp32,20260924,count_matched_uniform,16,16,3,2,2,8.0625,76.013816,76.059734,0.04591800000000035,0x40946b7d
cmp32,20260925,v1_learn,16,16,0,10,10,9.4375,76.013816,76.034294,0.02047799999999711,0x73c8a88c
cmp32,20260925,v2_learn,16,16,3,,17,6.625,76.013816,76.013816,0.0,0x7fffffff
cmp32,20260925,v2_frozen,16,16,11,8,8,6.6875,76.013816,76.103772,0.08995600000000081,0x7fffff80
cmp32,20260925,count_matched_uniform,16,16,3,,17,7.0625,76.013816,76.013816,0.0,0x7fffffff
popcount32,20260923,v1_learn,16,16,0,,17,7.0,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260923,v2_learn,16,16,0,,17,6.75,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260923,v2_frozen,16,16,13,,17,6.4375,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260923,count_matched_uniform,16,16,5,,17,6.75,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260924,v1_learn,16,16,0,,17,8.375,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260924,v2_learn,16,16,2,,17,9.75,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260924,v2_frozen,16,16,13,,17,8.9375,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260924,count_matched_uniform,16,16,2,,17,6.4375,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260925,v1_learn,16,16,0,,17,8.0625,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260925,v2_learn,16,16,7,,17,6.25,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260925,v2_frozen,16,16,13,,17,5.5,69.95253,69.95253,0.0,0x7fffffff
popcount32,20260925,count_matched_uniform,16,16,3,,17,5.75,69.95253,69.95253,0.0,0x7fffffff
priority32,20260923,v1_learn,16,16,0,,17,10.75,76.677648,76.677648,0.0,0x7fffffff
priority32,20260923,v2_learn,16,16,0,,17,7.5,76.677648,76.677648,0.0,0x7fffffff
priority32,20260923,v2_frozen,16,16,8,,17,4.875,76.677648,76.677648,0.0,0x7fffffff
priority32,20260923,count_matched_uniform,16,16,5,,17,5.25,76.677648,76.677648,0.0,0x7fffffff
priority32,20260924,v1_learn,16,16,0,,17,12.0625,76.677648,76.677648,0.0,0x7fffffff
priority32,20260924,v2_learn,16,16,5,,17,5.0625,76.677648,76.677648,0.0,0x7fffffff
priority32,20260924,v2_frozen,16,16,14,,17,6.5,76.677648,76.677648,0.0,0x7fffffff
priority32,20260924,count_matched_uniform,16,16,9,,17,4.3125,76.677648,76.677648,0.0,0x7fffffff
priority32,20260925,v1_learn,16,16,0,,17,11.5625,76.677648,76.677648,0.0,0x7fffffff
priority32,20260925,v2_learn,16,16,6,7,7,8.125,76.677648,76.735174,0.05752599999999575,0x7ffc8080
priority32,20260925,v2_frozen,16,16,9,,17,6.875,76.677648,76.677648,0.0,0x7fffffff
priority32,20260925,count_matched_uniform,16,16,5,,17,7.625,76.677648,76.677648,0.0,0x7fffffff
