family,param,hold_style,functional,routed,cells,area,wns,tns,power_w,reward,cache_hit
behavioral,0,implicit_if,True,True,156,178.22,7.62411,0,2.32793e-05,76.06288,True
behavioral,0,explicit_else,True,True,156,178.22,7.62411,0,2.32793e-05,76.06288,False
behavioral,0,ternary,True,True,156,178.22,7.62411,0,2.32793e-05,76.06288,True
behavioral,0,case,True,True,156,178.22,7.62411,0,2.32793e-05,76.06288,False
ripple,0,implicit_if,True,True,111,138.852,7.33351,0,1.9613e-05,73.196248,True
ripple,0,explicit_else,True,True,111,138.852,7.33351,0,1.9613e-05,73.196248,True
ripple,0,ternary,True,True,111,138.852,7.33351,0,1.9613e-05,73.196248,True
ripple,0,case,True,True,111,138.852,7.33351,0,1.9613e-05,73.196248,True
chunked,1,implicit_if,True,True,111,138.852,7.3328,0,1.9455e-05,73.189148,False
chunked,1,explicit_else,True,True,111,138.852,7.3328,0,1.9455e-05,73.189148,True
chunked,1,ternary,True,True,111,138.852,7.3328,0,1.9455e-05,73.189148,True
chunked,1,case,True,True,111,138.852,7.3328,0,1.9455e-05,73.189148,True
chunked,2,implicit_if,True,True,111,138.852,7.35951,0,1.93918e-05,73.456248,True
chunked,2,explicit_else,True,True,111,138.852,7.35951,0,1.93918e-05,73.456248,True
chunked,2,ternary,True,True,111,138.852,7.35951,0,1.93918e-05,73.456248,True
chunked,2,case,True,True,111,138.852,7.35951,0,1.93918e-05,73.456248,False
chunked,4,implicit_if,True,True,133,157.206,7.49696,0,2.16913e-05,74.812394,True
chunked,4,explicit_else,True,True,133,157.206,7.49696,0,2.16913e-05,74.812394,False
chunked,4,ternary,True,True,133,157.206,7.49696,0,2.16913e-05,74.812394,False
chunked,4,case,True,True,133,157.206,7.49696,0,2.16913e-05,74.812394,True
carry_select,1,implicit_if,True,True,148,185.934,7.51241,0,2.57221e-05,74.938166,True
carry_select,1,explicit_else,True,True,148,185.934,7.51241,0,2.57221e-05,74.938166,True
carry_select,1,ternary,True,True,148,185.934,7.51241,0,2.57221e-05,74.938166,False
carry_select,1,case,True,True,148,185.934,7.51241,0,2.57221e-05,74.938166,True
carry_select,2,implicit_if,True,True,141,176.092,7.57203,0,2.40774e-05,75.544208,True
carry_select,2,explicit_else,True,True,141,176.092,7.57203,0,2.40774e-05,75.544208,False
carry_select,2,ternary,True,True,141,176.092,7.57203,0,2.40774e-05,75.544208,False
carry_select,2,case,True,True,141,176.092,7.57203,0,2.40774e-05,75.544208,True
carry_select,3,implicit_if,True,True,146,169.442,7.57948,0,2.29662e-05,75.625358,False
carry_select,3,explicit_else,True,True,146,169.442,7.57948,0,2.29662e-05,75.625358,True
carry_select,3,ternary,True,True,146,169.442,7.57948,0,2.29662e-05,75.625358,True
carry_select,3,case,True,True,146,169.442,7.57948,0,2.29662e-05,75.625358,True
carry_select,4,implicit_if,True,True,144,168.112,7.60849,0,2.3082e-05,75.916788,False
carry_select,4,explicit_else,True,True,144,168.112,7.60849,0,2.3082e-05,75.916788,True
carry_select,4,ternary,True,True,144,168.112,7.60849,0,2.3082e-05,75.916788,True
carry_select,4,case,True,True,144,168.112,7.60849,0,2.3082e-05,75.916788,True
carry_select,5,implicit_if,True,True,143,167.048,7.63247,0,2.26438e-05,76.157652,True
carry_select,5,explicit_else,True,True,143,167.048,7.63247,0,2.26438e-05,76.157652,False
carry_select,5,ternary,True,True,143,167.048,7.63247,0,2.26438e-05,76.157652,True
carry_select,5,case,True,True,143,167.048,7.63247,0,2.26438e-05,76.157652,True
carry_select,6,implicit_if,True,True,143,159.068,7.63669,0,2.14618e-05,76.207832,False
carry_select,6,explicit_else,True,True,143,159.068,7.63669,0,2.14618e-05,76.207832,True
carry_select,6,ternary,True,True,143,159.068,7.63669,0,2.14618e-05,76.207832,False
carry_select,6,case,True,True,143,159.068,7.63669,0,2.14618e-05,76.207832,False
carry_select,7,implicit_if,True,True,156,178.486,7.61822,0,2.32125e-05,76.003714,True
carry_select,7,explicit_else,True,True,156,178.486,7.61822,0,2.32125e-05,76.003714,False
carry_select,7,ternary,True,True,156,178.486,7.61822,0,2.32125e-05,76.003714,False
carry_select,7,case,True,True,156,178.486,7.61822,0,2.32125e-05,76.003714,True
