method,seed,query,source,mask,parent_mask,chosen_bit,valid,cache_hit,score,incumbent
v3_global,33001,1,global,31937,,,True,False,66.96839,67.980992
v3_global,33001,2,global,32513,,,True,False,66.84521,67.980992
v3_global,33001,3,global,31506,,,True,False,67.17888,67.980992
v3_global,33001,4,global,29958,,,True,False,66.60206,67.980992
v3_global,33001,5,global,16513,,,True,False,67.49807,67.980992
v3_global,33001,6,global,256,,,True,False,65.443862,67.980992
v3_global,33001,7,global,32763,,,True,False,66.71992,67.980992
v3_global,33001,8,global,16656,,,True,False,66.60039,67.980992
v3_global,33001,9,global,2,,,True,False,64.901748,67.980992
v3_global,33001,10,global,12320,,,True,False,66.13611,67.980992
v3_global,33001,11,global,1024,,,True,False,65.415962,67.980992
v3_global,33001,12,global,31936,,,True,False,67.20565,67.980992
v3_global,33001,13,global,31952,,,True,False,67.08441,67.980992
v3_global,33001,14,global,31088,,,True,False,67.32678,67.980992
v3_global,33001,15,global,28480,,,True,False,67.06625,67.980992
v3_global,33001,16,global,28320,,,True,False,66.29485,67.980992
v3_global,33002,1,global,32264,,,True,False,67.32444,67.980992
v3_global,33002,2,global,32520,,,True,False,66.72771,67.980992
v3_global,33002,3,global,32448,,,True,False,67.21503,67.980992
v3_global,33002,4,global,31812,,,True,False,66.98344,67.980992
v3_global,33002,5,global,32384,,,True,False,67.26954,67.980992
v3_global,33002,6,global,32320,,,True,False,67.33814,67.980992
v3_global,33002,7,global,24324,,,True,False,67.25115,67.980992
v3_global,33002,8,global,8192,,,True,False,63.539094,67.980992
v3_global,33002,9,global,32032,,,True,False,66.32729,67.980992
v3_global,33002,10,global,20992,,,True,False,67.30781,67.980992
v3_global,33002,11,global,10180,,,True,False,66.12744,67.980992
v3_global,33002,12,global,32257,,,True,False,66.58949,67.980992
v3_global,33002,13,global,29512,,,True,False,66.98147,67.980992
v3_global,33002,14,global,18448,,,True,False,67.22775,67.980992
v3_global,33002,15,global,31329,,,True,False,67.06706,67.980992
v3_global,33002,16,global,30482,,,True,False,66.88563,67.980992
v3_global,33003,1,global,4096,,,True,False,63.883176,67.980992
v3_global,33003,2,global,19456,,,True,False,67.59733,67.980992
v3_global,33003,3,global,31120,,,True,False,66.66577,67.980992
v3_global,33003,4,global,512,,,True,False,65.406262,67.980992
v3_global,33003,5,global,28448,,,True,False,67.12715,67.980992
v3_global,33003,6,global,24832,,,True,False,66.71449,67.980992
v3_global,33003,7,global,32513,,,True,True,66.84521,67.980992
v3_global,33003,8,global,32288,,,True,False,67.17464,67.980992
v3_global,33003,9,global,8706,,,True,False,65.38739,67.980992
v3_global,33003,10,global,16400,,,True,False,67.456084,67.980992
v3_global,33003,11,global,31424,,,True,False,67.41225,67.980992
v3_global,33003,12,global,25600,,,True,False,67.34173,67.980992
v3_global,33003,13,global,2048,,,True,False,65.422862,67.980992
v3_global,33003,14,global,25088,,,True,False,66.73629,67.980992
v3_global,33003,15,global,32272,,,True,False,67.26564,67.980992
v3_global,33003,16,global,31520,,,True,False,66.60969,67.980992
uniform_local,33001,1,local,512,0,9,True,True,65.406262,67.980992
uniform_local,33001,2,local,4,0,2,True,False,64.885748,67.980992
uniform_local,33001,3,local,8,0,3,True,False,64.827348,67.980992
uniform_local,33001,4,local,4096,0,12,True,True,63.883176,67.980992
uniform_local,33001,5,local,2,0,1,True,True,64.901748,67.980992
uniform_local,33001,6,local,128,0,7,True,False,64.734848,67.980992
uniform_local,33001,7,local,1024,0,10,True,True,65.415962,67.980992
uniform_local,33001,8,local,8192,0,13,True,True,63.539094,67.980992
uniform_local,33001,9,local,1,0,0,True,False,64.812848,67.980992
uniform_local,33001,10,local,64,0,6,True,False,64.771648,67.980992
uniform_local,33001,11,local,2048,0,11,True,True,65.422862,67.980992
uniform_local,33001,12,local,32,0,5,True,False,64.881948,67.980992
uniform_local,33001,13,local,16,0,4,True,False,64.905648,67.980992
uniform_local,33001,14,local,256,0,8,True,True,65.443862,67.980992
uniform_local,33001,15,local,16400,16384,4,True,True,67.456084,67.980992
uniform_local,33001,16,local,16896,16384,9,True,False,66.1846,67.980992
uniform_local,33002,1,local,2,0,1,True,True,64.901748,67.980992
uniform_local,33002,2,local,128,0,7,True,True,64.734848,67.980992
uniform_local,33002,3,local,1024,0,10,True,True,65.415962,67.980992
uniform_local,33002,4,local,16,0,4,True,True,64.905648,67.980992
uniform_local,33002,5,local,4096,0,12,True,True,63.883176,67.980992
uniform_local,33002,6,local,2048,0,11,True,True,65.422862,67.980992
uniform_local,33002,7,local,8,0,3,True,True,64.827348,67.980992
uniform_local,33002,8,local,256,0,8,True,True,65.443862,67.980992
uniform_local,33002,9,local,512,0,9,True,True,65.406262,67.980992
uniform_local,33002,10,local,1,0,0,True,True,64.812848,67.980992
uniform_local,33002,11,local,8192,0,13,True,True,63.539094,67.980992
uniform_local,33002,12,local,4,0,2,True,True,64.885748,67.980992
uniform_local,33002,13,local,64,0,6,True,True,64.771648,67.980992
uniform_local,33002,14,local,32,0,5,True,True,64.881948,67.980992
uniform_local,33002,15,local,16416,16384,5,True,False,67.395784,67.980992
uniform_local,33002,16,local,16400,16384,4,True,True,67.456084,67.980992
uniform_local,33003,1,local,8,0,3,True,True,64.827348,67.980992
uniform_local,33003,2,local,64,0,6,True,True,64.771648,67.980992
uniform_local,33003,3,local,4,0,2,True,True,64.885748,67.980992
uniform_local,33003,4,local,2,0,1,True,True,64.901748,67.980992
uniform_local,33003,5,local,4096,0,12,True,True,63.883176,67.980992
uniform_local,33003,6,local,2048,0,11,True,True,65.422862,67.980992
uniform_local,33003,7,local,8192,0,13,True,True,63.539094,67.980992
uniform_local,33003,8,local,16,0,4,True,True,64.905648,67.980992
uniform_local,33003,9,local,32,0,5,True,True,64.881948,67.980992
uniform_local,33003,10,local,512,0,9,True,True,65.406262,67.980992
uniform_local,33003,11,local,256,0,8,True,True,65.443862,67.980992
uniform_local,33003,12,local,1024,0,10,True,True,65.415962,67.980992
uniform_local,33003,13,local,128,0,7,True,True,64.734848,67.980992
uniform_local,33003,14,local,1,0,0,True,True,64.812848,67.980992
uniform_local,33003,15,local,17408,16384,10,True,False,66.63716,67.980992
uniform_local,33003,16,local,24576,16384,13,True,False,67.111378,67.980992
learned_local,33001,1,local,512,0,9,True,True,65.406262,67.980992
learned_local,33001,2,local,4,0,2,True,True,64.885748,67.980992
learned_local,33001,3,local,16,0,4,True,True,64.905648,67.980992
learned_local,33001,4,local,8192,0,13,True,True,63.539094,67.980992
learned_local,33001,5,local,2,0,1,True,True,64.901748,67.980992
learned_local,33001,6,local,128,0,7,True,True,64.734848,67.980992
learned_local,33001,7,local,1024,0,10,True,True,65.415962,67.980992
learned_local,33001,8,local,4096,0,12,True,True,63.883176,67.980992
learned_local,33001,9,local,8,0,3,True,True,64.827348,67.980992
learned_local,33001,10,local,64,0,6,True,True,64.771648,67.980992
learned_local,33001,11,local,2048,0,11,True,True,65.422862,67.980992
learned_local,33001,12,local,32,0,5,True,True,64.881948,67.980992
learned_local,33001,13,local,1,0,0,True,True,64.812848,67.980992
learned_local,33001,14,local,256,0,8,True,True,65.443862,67.980992
learned_local,33001,15,local,16392,16384,3,True,False,67.721592,67.980992
learned_local,33001,16,local,16896,16384,9,True,True,66.1846,67.980992
learned_local,33002,1,local,2,0,1,True,True,64.901748,67.980992
learned_local,33002,2,local,128,0,7,True,True,64.734848,67.980992
learned_local,33002,3,local,2048,0,11,True,True,65.422862,67.980992
learned_local,33002,4,local,8,0,3,True,True,64.827348,67.980992
