method,seed,seed_reward,final_reward,gain,first_improvement_query,valid_queries,fresh,cached,local_updates
v3_global,33001,67.980992,67.980992,0.0,17,16,16,0,0
v3_global,33002,67.980992,67.980992,0.0,17,16,16,0,0
v3_global,33003,67.980992,67.980992,0.0,17,16,15,1,0
uniform_local,33001,67.980992,67.980992,0.0,17,16,8,8,0
uniform_local,33002,67.980992,67.980992,0.0,17,16,1,15,0
uniform_local,33003,67.980992,67.980992,0.0,17,16,2,14,0
learned_local,33001,67.980992,67.980992,0.0,17,16,1,15,16
learned_local,33002,67.980992,67.980992,0.0,17,16,1,15,16
learned_local,33003,67.980992,67.980992,0.0,17,16,0,16,16
frozen_hybrid,33001,67.980992,67.980992,0.0,17,16,3,13,0
frozen_hybrid,33002,67.980992,67.980992,0.0,17,16,2,14,0
frozen_hybrid,33003,67.980992,67.980992,0.0,17,16,3,13,0
learned_hybrid,33001,67.980992,67.980992,0.0,17,16,0,16,8
learned_hybrid,33002,67.980992,67.980992,0.0,17,16,0,16,8
learned_hybrid,33003,67.980992,67.980992,0.0,17,16,0,16,8
