width,mask,area,wns,reward,source_methods
16,0x0,162.526,7.25629,72.400374,seed
16,0x2aaa,188.328,7.30287,72.840372,seed
16,0x4408,186.998,7.28889,72.701902,v3_global
16,0x30a5,195.51,7.38049,73.60939,uniform_local
16,0x3d88,204.554,7.3904,73.699446,frozen_hybrid;v3_hybrid
64,0x0,480.13,6.75942,67.11407,seed
64,0x4000000000000000,506.73,6.77606,67.25387,seed
64,0x7000000000000000,559.398,6.81378,67.578402,seed
64,0xffffffff,590.786,6.8185,67.594214,seed
64,0x7fffe40000800000,712.082,6.93925,68.680418,v3_global
64,0x7fffffd811004003,736.022,6.94245,68.688478,v3_global
64,0x7fffffffffffefff,749.322,6.9798,69.048678,frozen_hybrid;uniform_local;v3_hybrid
64,0x7effffffbfeffdbf,742.938,6.97283,68.985362,uniform_local
64,0x6fffffffffffefff,739.48,6.96963,68.95682,frozen_hybrid;v3_hybrid
64,0x7fffffb18ac00000,739.214,6.95775,68.838286,v3_hybrid
64,0x6000000020000000,533.064,6.77846,67.251536,frozen_hybrid
