width,benchmark,method,seed,query,source,parent_mask,mask,K,reward,incumbent,seed_reward,area,wns,power_w,cached,evaluation_id
16,popcount16_tree,v3_global,32001,1,global,,0x4408,3,72.701902,73.245274,73.245274,186.998,7.28889,3.94017e-05,0,0c4d1d1f055f2f19
16,popcount16_tree,v3_global,32001,2,global,,0x3004,3,73.30729,73.30729,73.245274,195.51,7.35028,4.30573e-05,0,864d78b242da6605
16,popcount16_tree,v3_global,32001,3,global,,0x3008,3,73.29879,73.30729,73.245274,195.51,7.34943,4.29926e-05,0,b035810dcd3465e6
16,popcount16_tree,v3_global,32001,4,global,,0x200,1,71.849702,73.30729,73.245274,173.698,7.20234,4.4503e-05,0,6ed7f2863965bba5
16,popcount16_tree,v3_global,32001,5,global,,0x7134,7,72.993352,73.30729,73.245274,206.948,7.32003,4.50945e-05,0,0d0b997f25dc9041
16,popcount16_tree,v3_global,32001,6,global,,0x6100,3,73.222258,73.30729,73.245274,196.042,7.34183,4.27398e-05,0,5ca248d824259116
16,popcount16_tree,v3_global,32001,7,global,,0x3020,3,73.28199,73.30729,73.245274,195.51,7.34775,4.29363e-05,0,4754eb30b7092da4
16,popcount16_tree,v3_global,32001,8,global,,0x2810,3,71.969224,73.30729,73.245274,182.476,7.21517,4.67494e-05,0,c658193a2dd943f9
16,popcount16_tree,v3_global,32001,9,global,,0x5200,3,71.997458,73.30729,73.245274,196.042,7.21935,4.39189e-05,0,cccb18626279154a
16,popcount16_tree,v3_global,32001,10,global,,0x5d88,7,73.476456,73.476456,73.245274,208.544,7.3685,4.52311e-05,0,e1845c592ddf7f9f
16,popcount16_tree,v3_global,32001,11,global,,0x7e08,7,72.971724,73.476456,73.245274,209.076,7.31808,4.60334e-05,0,ed976e69805d1850
16,popcount16_tree,v3_global,32001,12,global,,0x6400,3,72.032358,73.476456,73.245274,196.042,7.22284,4.41117e-05,0,98a50b9a07f28bd7
16,popcount16_tree,v3_global,32001,13,global,,0x7688,7,72.977052,73.476456,73.245274,206.948,7.3184,4.55704e-05,0,a8d466c0f588f352
16,popcount16_tree,v3_global,32001,14,global,,0x182,3,72.048238,73.476456,73.245274,188.062,7.22363,4.54466e-05,0,14d7cd573bea6932
16,popcount16_tree,v3_global,32001,15,global,,0x7f20,8,73.172168,73.476456,73.245274,213.332,7.33855,4.77308e-05,0,cfe77a9f5d8cc385
16,popcount16_tree,v3_global,32001,16,global,,0x7b20,7,73.119592,73.476456,73.245274,209.608,7.33292,4.56818e-05,0,d6613be5e2b6677c
16,popcount16_tree,v3_global,32002,1,global,,0x7e10,7,73.006924,73.245274,73.245274,209.076,7.3216,4.62029e-05,0,3a3e8ba56c81e62e
16,popcount16_tree,v3_global,32002,2,global,,0x7e40,7,73.011924,73.245274,73.245274,209.076,7.3221,4.62813e-05,0,1df9aae166035be3
16,popcount16_tree,v3_global,32002,3,global,,0x488,3,72.266344,73.245274,73.245274,177.156,7.24435,3.98132e-05,0,921e95e55bb44f2f
16,popcount16_tree,v3_global,32002,4,global,,0x7d80,7,73.045824,73.245274,73.245274,209.076,7.32549,4.65858e-05,0,daed10e0f9ae423e
