removed_bit,mask,area,wns,cells,power_w,proxy_reward_v0,delta_vs_seed,cache_hit
0,0x7ffffffe,387.03,7.18048,311,0.000151808,71.41777,-0.05689399999999978,False
1,0x7ffffffd,387.03,7.18387,311,0.00015182,71.45167,-0.022994000000011283,False
2,0x7ffffffb,387.03,7.18726,311,0.000150631,71.48557,0.010905999999991423,False
3,0x7ffffff7,387.03,7.18445,311,0.000150796,71.45747,-0.017194000000003484,False
4,0x7fffffef,387.03,7.18312,311,0.000151593,71.44417,-0.030494000000004462,False
5,0x7fffffdf,387.03,7.18405,311,0.000151477,71.45347,-0.021194000000008373,False
6,0x7fffffbf,387.03,7.18569,311,0.00015146,71.46987,-0.004794000000003962,False
7,0x7fffff7f,387.03,7.18392,311,0.000150408,71.45217,-0.022494000000008896,False
8,0x7ffffeff,387.03,7.18028,311,0.000152465,71.41577,-0.05889400000000933,False
9,0x7ffffdff,387.03,7.18606,311,0.00015015,71.47357,-0.0010940000000090322,False
10,0x7ffffbff,384.636,7.18547,311,0.000149611,71.470064,-0.004600000000010596,False
11,0x7ffff7ff,384.636,7.18241,311,0.000149242,71.439464,-0.03520000000000323,False
12,0x7fffefff,384.636,7.18473,311,0.000149218,71.462664,-0.012000000000000455,False
13,0x7fffdfff,384.636,7.18049,311,0.000149365,71.420264,-0.054400000000001114,False
14,0x7fffbfff,384.636,7.18247,311,0.000148933,71.440064,-0.03459999999999752,False
15,0x7fff7fff,384.636,7.18316,311,0.000148591,71.446964,-0.02770000000001005,False
16,0x7ffeffff,383.572,7.17434,311,0.000146745,71.359828,-0.11483600000001104,False
17,0x7ffdffff,383.572,7.18218,311,0.000146379,71.438228,-0.03643600000000902,False
18,0x7ffbffff,383.572,7.18246,311,0.000147232,71.441028,-0.03363600000000133,False
19,0x7ff7ffff,383.572,7.18196,311,0.000145929,71.436028,-0.038636000000010995,False
20,0x7fefffff,383.572,7.17833,311,0.000148166,71.399728,-0.07493600000000811,False
21,0x7fdfffff,383.572,7.1781,311,0.000147091,71.397428,-0.0772359999999992,False
22,0x7fbfffff,383.572,7.17654,311,0.000147814,71.381828,-0.09283600000000547,False
23,0x7f7fffff,383.572,7.18046,311,0.000144863,71.421028,-0.05363599999999735,False
24,0x7effffff,380.912,7.16404,311,0.000146032,71.259488,-0.2151759999999996,False
25,0x7dffffff,380.912,7.17077,311,0.000148046,71.326788,-0.14787600000001078,False
26,0x7bffffff,380.912,7.17648,311,0.000145164,71.383888,-0.0907760000000053,False
27,0x77ffffff,380.912,7.17781,311,0.000146789,71.397188,-0.07747600000000432,False
28,0x6fffffff,382.242,7.174,312,0.000144773,71.357758,-0.11690600000000018,False
29,0x5fffffff,382.242,7.17877,312,0.000145753,71.405458,-0.06920600000000832,False
30,0x3fffffff,387.296,7.09975,312,0.000156956,70.610204,-0.8644600000000082,False
