seed,method,query,baseline,scale,expected_K
31001,v2_legacy,1,70.4822924,0.6512156451475055,20.411849498366486
31001,v2_legacy,2,70.61288872000002,0.6515688361180024,19.546953437715317
31001,v2_legacy,3,70.44597897600002,0.688164812894405,20.698201171774745
31001,v2_legacy,4,70.58602598080003,0.69057885511552,19.780303548937766
31001,v2_legacy,5,70.42877758464003,0.7097114802524216,20.502888882481987
31001,v2_legacy,6,70.56785006771203,0.7068416672739306,19.678749769300936
31001,v2_legacy,7,70.70056285416963,0.6981861202767388,19.040199004565846
31001,v2_legacy,8,70.22144948333572,1.037662267055317,19.314252420654917
31001,v2_legacy,9,70.40434238666859,1.01302271697711,18.84243286511554
31001,v2_legacy,10,70.54109670933488,0.9471724962479712,18.544356091055164
31001,v2_legacy,11,70.68292016746791,0.8995614551314008,18.260986286589013
31001,v2_legacy,12,70.82122173397434,0.8579507306115371,18.014246650524495
31001,v2_legacy,13,70.57111898717947,0.9364633312840986,17.982384897507643
31001,v2_legacy,14,70.70223678974358,0.8802884675913845,17.823670565520775
31001,v2_legacy,15,70.81005223179487,0.8120462161243922,17.70100892678874
31001,v2_legacy,16,70.8863789854359,0.7259637265405406,17.61595404918414
31001,v2_raw_aggregate,1,70.4822924,0.6512156451475055,20.411849498366486
31001,v2_raw_aggregate,2,70.61288872000002,0.6515688361180024,19.546953437715317
31001,v2_raw_aggregate,3,70.44597897600002,0.688164812894405,20.698201171774745
31001,v2_raw_aggregate,4,70.58602598080003,0.69057885511552,19.780303548937766
31001,v2_raw_aggregate,5,70.42877758464003,0.7097114802524216,20.502888882481987
31001,v2_raw_aggregate,6,70.56785006771203,0.7068416672739306,19.678749769300936
31001,v2_raw_aggregate,7,70.70056285416963,0.6981861202767388,19.040199004565846
31001,v2_raw_aggregate,8,70.22144948333572,1.037662267055317,19.314252420654917
31001,v2_raw_aggregate,9,70.40434238666859,1.01302271697711,18.84243286511554
31001,v2_raw_aggregate,10,70.54109670933488,0.9471724962479712,18.544356091055164
31001,v2_raw_aggregate,11,70.68292016746791,0.8995614551314008,18.260986286589013
