seed,method,query,mask,K,status,cache_hit,area,wns,score,best_so_far,seed_relative_gain
31001,v2_legacy,1,0x77800000,7,success,False,357.504,7.13781,71.020596,71.474664,0.0
31001,v2_legacy,2,0x7ff27080,16,success,False,375.326,7.15106,71.135274,71.474664,0.0
31001,v2_legacy,3,0x75200008,7,success,False,348.46,7.01268,69.77834,71.474664,0.0
31001,v2_legacy,4,0x7ff66020,16,success,False,377.986,7.15242,71.146214,71.474664,0.0
31001,v2_legacy,5,0x74012001,7,success,False,339.416,7.01392,69.799784,71.474664,0.0
31001,v2_legacy,6,0x7ff8d800,16,success,False,375.06,7.14992,71.12414,71.474664,0.0
31001,v2_legacy,7,0x7ffc6100,16,success,False,377.986,7.16094,71.231414,71.474664,0.0
31001,v2_legacy,8,0x08000880,3,success,False,304.304,6.86093,68.304996,71.474664,0.0
31001,v2_legacy,9,0x7ff61820,16,success,False,377.986,7.15139,71.135914,71.474664,0.0
31001,v2_legacy,10,0x7ffac800,16,success,False,377.986,7.14661,71.088114,71.474664,0.0
31001,v2_legacy,11,0x7fdda200,16,success,False,377.986,7.16282,71.250214,71.474664,0.0
31001,v2_legacy,12,0x7fff0040,16,success,False,383.572,7.1758,71.374428,71.474664,0.0
31001,v2_legacy,13,0x00000400,1,success,False,269.192,6.98399,69.570708,71.474664,0.0
31001,v2_legacy,14,0x7fdc4610,16,success,False,375.592,7.16023,71.226708,71.474664,0.0
31001,v2_legacy,15,0x7ffcb000,16,success,False,377.986,7.16193,71.241314,71.474664,0.0
31001,v2_legacy,16,0x7ffd0240,16,success,False,380.114,7.15718,71.191686,71.474664,0.0
31001,v2_raw_aggregate,1,0x77800000,7,success,True,357.504,7.13781,71.020596,71.474664,0.0
31001,v2_raw_aggregate,2,0x7ff27080,16,success,True,375.326,7.15106,71.135274,71.474664,0.0
31001,v2_raw_aggregate,3,0x75200008,7,success,True,348.46,7.01268,69.77834,71.474664,0.0
31001,v2_raw_aggregate,4,0x7ff66020,16,success,True,377.986,7.15242,71.146214,71.474664,0.0
31001,v2_raw_aggregate,5,0x74012001,7,success,True,339.416,7.01392,69.799784,71.474664,0.0
31001,v2_raw_aggregate,6,0x7ff8d800,16,success,True,375.06,7.14992,71.12414,71.474664,0.0
31001,v2_raw_aggregate,7,0x7ffc6100,16,success,True,377.986,7.16094,71.231414,71.474664,0.0
31001,v2_raw_aggregate,8,0x08000880,3,success,True,304.304,6.86093,68.304996,71.474664,0.0
31001,v2_raw_aggregate,9,0x7ff61820,16,success,True,377.986,7.15139,71.135914,71.474664,0.0
31001,v2_raw_aggregate,10,0x7ffac800,16,success,True,377.986,7.14661,71.088114,71.474664,0.0
31001,v2_raw_aggregate,11,0x7fdda200,16,success,True,377.986,7.16282,71.250214,71.474664,0.0
31001,v2_raw_aggregate,12,0x7fff0040,16,success,True,383.572,7.1758,71.374428,71.474664,0.0
31001,v2_raw_aggregate,13,0x00000400,1,success,True,269.192,6.98399,69.570708,71.474664,0.0
31001,v2_raw_aggregate,14,0x7fdc4610,16,success,True,375.592,7.16023,71.226708,71.474664,0.0
31001,v2_raw_aggregate,15,0x7ffcb000,16,success,True,377.986,7.16193,71.241314,71.474664,0.0
31001,v2_raw_aggregate,16,0x7ffd0240,16,success,True,380.114,7.15718,71.191686,71.474664,0.0
31001,v3_conditioned,1,0x77800000,7,success,True,357.504,7.13781,71.020596,71.474664,0.0
31001,v3_conditioned,2,0x7ff27080,16,success,True,375.326,7.15106,71.135274,71.474664,0.0
31001,v3_conditioned,3,0x75200008,7,success,True,348.46,7.01268,69.77834,71.474664,0.0
31001,v3_conditioned,4,0x7ff66020,16,success,True,377.986,7.15242,71.146214,71.474664,0.0
31001,v3_conditioned,5,0x7fa02401,12,success,False,367.612,7.15855,71.217888,71.474664,0.0
31001,v3_conditioned,6,0x7ff8d800,16,success,True,375.06,7.14992,71.12414,71.474664,0.0
31001,v3_conditioned,7,0x7ffc6100,16,success,True,377.986,7.16094,71.231414,71.474664,0.0
31001,v3_conditioned,8,0x08000880,3,success,True,304.304,6.86093,68.304996,71.474664,0.0
31001,v3_conditioned,9,0x7ffff4c4,23,success,False,383.04,7.17679,71.38486,71.474664,0.0
31001,v3_conditioned,10,0x7ffac800,16,success,True,377.986,7.14661,71.088114,71.474664,0.0
31001,v3_conditioned,11,0x7ffec000,16,success,False,380.114,7.1573,71.192886,71.474664,0.0
31001,v3_conditioned,12,0x7ff6c200,16,success,False,377.986,7.15099,71.131914,71.474664,0.0
31001,v3_conditioned,13,0x00000400,1,success,True,269.192,6.98399,69.570708,71.474664,0.0
31001,v3_conditioned,14,0x7fd64610,16,success,False,375.326,7.14445,71.069174,71.474664,0.0
31001,v3_conditioned,15,0x7ff41103,16,success,False,378.252,7.15419,71.163648,71.474664,0.0
31001,v3_conditioned,16,0x7ffe0240,16,success,False,380.114,7.15925,71.212386,71.474664,0.0
31001,v2_frozen,1,0x77800000,7,success,True,357.504,7.13781,71.020596,71.474664,0.0
31001,v2_frozen,2,0x7ff27080,16,success,True,375.326,7.15106,71.135274,71.474664,0.0
31001,v2_frozen,3,0x75100008,7,success,False,348.46,7.01148,69.76634,71.474664,0.0
31001,v2_frozen,4,0x7ff66020,16,success,True,377.986,7.15242,71.146214,71.474664,0.0
31001,v2_frozen,5,0x74009001,7,success,False,345.8,6.97906,69.4448,71.474664,0.0
31001,v2_frozen,6,0x7ff8cc00,16,success,False,375.06,7.15102,71.13514,71.474664,0.0
31001,v2_frozen,7,0x7ffcc100,16,success,False,377.986,7.16089,71.230914,71.474664,0.0
31001,v2_frozen,8,0x00000080,1,success,False,269.192,6.98748,69.605608,71.474664,0.0
31001,v2_frozen,9,0x7c100100,7,success,False,348.46,7.01891,69.84064,71.474664,0.0
31001,v2_frozen,10,0x7ff9c400,16,success,False,377.986,7.15285,71.150514,71.474664,0.0
31001,v2_frozen,11,0x7ffec000,16,success,True,380.114,7.1573,71.192886,71.474664,0.0
31001,v2_frozen,12,0x7feb8018,16,success,False,378.252,7.15838,71.205548,71.474664,0.0
31001,v2_frozen,13,0x00000400,1,success,True,269.192,6.98399,69.570708,71.474664,0.0
31001,v2_frozen,14,0x7fd62308,16,success,False,375.06,7.14993,71.12424,71.474664,0.0
31001,v2_frozen,15,0x7ffe8800,16,success,False,380.114,7.15951,71.214986,71.474664,0.0
31001,v2_frozen,16,0x7a001100,7,success,False,343.406,6.98961,69.552694,71.474664,0.0
31002,v2_legacy,1,0x7ff66400,16,success,False,377.986,7.15507,71.172714,71.474664,0.0
31002,v2_legacy,2,0x7ffe0042,16,success,False,380.646,7.17245,71.343854,71.474664,0.0
31002,v2_legacy,3,0x7fff4000,16,success,False,383.572,7.17072,71.323628,71.474664,0.0
31002,v2_legacy,4,0x6e804000,7,success,False,350.588,7.05235,70.172912,71.474664,0.0
31002,v2_legacy,5,0x7ffab000,16,success,False,377.986,7.157,71.192014,71.474664,0.0
31002,v2_legacy,6,0x7ffe2004,16,success,False,380.114,7.16389,71.258786,71.474664,0.0
31002,v2_legacy,7,0x7e010000,7,success,False,357.504,7.13741,71.016596,71.474664,0.0
31002,v2_legacy,8,0x7ffe1004,16,success,False,380.114,7.15799,71.199786,71.474664,0.0
31002,v2_legacy,9,0x7fff2000,16,success,False,383.572,7.1728,71.344428,71.474664,0.0
31002,v2_legacy,10,0x7ffe8100,16,success,False,380.114,7.16219,71.241786,71.474664,0.0
31002,v2_legacy,11,0x7ffe0204,16,success,False,380.114,7.15433,71.163186,71.474664,0.0
31002,v2_legacy,12,0x7ffe4020,16,success,False,380.114,7.15889,71.208786,71.474664,0.0
31002,v2_legacy,13,0x7ff71800,16,success,False,380.114,7.15538,71.173686,71.474664,0.0
31002,v2_legacy,14,0x7ff63800,16,success,False,377.986,7.15181,71.140114,71.474664,0.0
31002,v2_legacy,15,0x7ff62006,16,success,False,378.252,7.15567,71.178448,71.474664,0.0
31002,v2_legacy,16,0x7fff8000,16,success,False,383.572,7.17207,71.337128,71.474664,0.0
31002,v2_raw_aggregate,1,0x7ff66400,16,success,True,377.986,7.15507,71.172714,71.474664,0.0
31002,v2_raw_aggregate,2,0x7ffe0042,16,success,True,380.646,7.17245,71.343854,71.474664,0.0
31002,v2_raw_aggregate,3,0x7fff4000,16,success,True,383.572,7.17072,71.323628,71.474664,0.0
31002,v2_raw_aggregate,4,0x6e804000,7,success,True,350.588,7.05235,70.172912,71.474664,0.0
31002,v2_raw_aggregate,5,0x7ffab000,16,success,True,377.986,7.157,71.192014,71.474664,0.0
31002,v2_raw_aggregate,6,0x7ffe2004,16,success,True,380.114,7.16389,71.258786,71.474664,0.0
31002,v2_raw_aggregate,7,0x7e010000,7,success,True,357.504,7.13741,71.016596,71.474664,0.0
31002,v2_raw_aggregate,8,0x7ffe1004,16,success,True,380.114,7.15799,71.199786,71.474664,0.0
31002,v2_raw_aggregate,9,0x7fff2000,16,success,True,383.572,7.1728,71.344428,71.474664,0.0
31002,v2_raw_aggregate,10,0x7ffe8100,16,success,True,380.114,7.16219,71.241786,71.474664,0.0
31002,v2_raw_aggregate,11,0x7ffe0204,16,success,True,380.114,7.15433,71.163186,71.474664,0.0
31002,v2_raw_aggregate,12,0x7ffe4020,16,success,True,380.114,7.15889,71.208786,71.474664,0.0
31002,v2_raw_aggregate,13,0x7ff71800,16,success,True,380.114,7.15538,71.173686,71.474664,0.0
31002,v2_raw_aggregate,14,0x7ff63800,16,success,True,377.986,7.15181,71.140114,71.474664,0.0
31002,v2_raw_aggregate,15,0x7ff62006,16,success,True,378.252,7.15567,71.178448,71.474664,0.0
31002,v2_raw_aggregate,16,0x7fff8000,16,success,True,383.572,7.17207,71.337128,71.474664,0.0
31002,v3_conditioned,1,0x7ff66400,16,success,True,377.986,7.15507,71.172714,71.474664,0.0
31002,v3_conditioned,2,0x7ffe0042,16,success,True,380.646,7.17245,71.343854,71.474664,0.0
31002,v3_conditioned,3,0x7fff4000,16,success,True,383.572,7.17072,71.323628,71.474664,0.0
31002,v3_conditioned,4,0x7ff74200,16,success,False,380.114,7.15305,71.150386,71.474664,0.0
31002,v3_conditioned,5,0x7ff57000,16,success,False,377.986,7.1546,71.168014,71.474664,0.0
31002,v3_conditioned,6,0x7fde8480,16,success,False,378.252,7.15574,71.179148,71.474664,0.0
31002,v3_conditioned,7,0x7e010000,7,success,True,357.504,7.13741,71.016596,71.474664,0.0
31002,v3_conditioned,8,0x7c020400,7,success,False,348.46,7.02052,69.85674,71.474664,0.0
31002,v3_conditioned,9,0x7fff8000,16,success,True,383.572,7.17207,71.337128,71.474664,0.0
