seed,method,queries,valid_queries,cache_hits,mean_K,best_candidate_reward,seed_reward,final_reward,gain,first_improvement_query,best_mask
31001,v2_legacy,16,16,0,12.5625,71.374428,71.474664,71.474664,0.0,,0x7fffffff
31001,v2_raw_aggregate,16,16,16,12.5625,71.374428,71.474664,71.474664,0.0,,0x7fffffff
31001,v3_conditioned,16,16,9,13.3125,71.38486,71.474664,71.474664,0.0,,0x7fffffff
31001,v2_frozen,16,16,5,11.3125,71.230914,71.474664,71.474664,0.0,,0x7fffffff
31002,v2_legacy,16,16,0,14.875,71.344428,71.474664,71.474664,0.0,,0x7fffffff
31002,v2_raw_aggregate,16,16,16,14.875,71.344428,71.474664,71.474664,0.0,,0x7fffffff
31002,v3_conditioned,16,16,7,13.9375,71.343854,71.474664,71.474664,0.0,,0x7fffffff
31002,v2_frozen,16,16,8,13.75,71.400054,71.474664,71.474664,0.0,,0x7fffffff
31003,v2_legacy,16,16,3,13.9375,71.410028,71.474664,71.474664,0.0,,0x7fffffff
31003,v2_raw_aggregate,16,16,16,13.9375,71.410028,71.474664,71.474664,0.0,,0x7fffffff
31003,v3_conditioned,16,16,12,13.375,71.410028,71.474664,71.474664,0.0,,0x7fffffff
31003,v2_frozen,16,16,5,10.3125,71.357872,71.474664,71.474664,0.0,,0x7fffffff
