candidate,family,param,hold_style,functional,routed,cells,area,wns,tns,power_w,runtime_s,proxy_reward_v0
rtl/generated/strict_v2_20260920/candidate_000.v,carry_select,2,implicit_if,True,True,141,176.092,7.57203,0,2.40774e-05,20.384,75.544208
rtl/generated/strict_v2_20260920/candidate_001.v,carry_select,5,implicit_if,True,True,143,167.048,7.63247,0,2.26438e-05,20.661,76.157652
rtl/generated/strict_v2_20260920/candidate_002.v,carry_select,6,explicit_else,True,True,143,159.068,7.63669,0,2.14618e-05,20.736,76.207832
rtl/generated/strict_v2_20260920/candidate_003.v,carry_select,4,ternary,True,True,144,168.112,7.60849,0,2.3082e-05,20.622,75.916788
rtl/generated/strict_v2_20260920/candidate_004.v,carry_select,1,implicit_if,True,True,148,185.934,7.51241,0,2.57221e-05,21.439,74.938166
rtl/generated/strict_v2_20260920/candidate_005.v,ripple,0,implicit_if,True,True,111,138.852,7.33351,0,1.9613e-05,20.829,73.196248
rtl/generated/strict_v2_20260920/candidate_006.v,chunked,4,case,True,True,133,157.206,7.49696,0,2.16913e-05,20.743,74.812394
rtl/generated/strict_v2_20260920/candidate_007.v,carry_select,3,case,True,True,146,169.442,7.57948,0,2.29662e-05,21.796,75.625358
rtl/generated/strict_v2_20260920/candidate_008.v,carry_select,3,explicit_else,True,True,146,169.442,7.57948,0,2.29662e-05,21.793,75.625358
rtl/generated/strict_v2_20260920/candidate_009.v,behavioral,0,implicit_if,True,True,156,178.22,7.62411,0,2.32793e-05,21.327,76.06288
rtl/generated/strict_v2_20260920/candidate_010.v,carry_select,1,explicit_else,True,True,148,185.934,7.51241,0,2.57221e-05,21.543,74.938166
rtl/generated/strict_v2_20260920/candidate_011.v,chunked,1,explicit_else,True,True,111,138.852,7.3328,0,1.9455e-05,20.967,73.189148
rtl/generated/strict_v2_20260920/candidate_012.v,carry_select,5,ternary,True,True,143,167.048,7.63247,0,2.26438e-05,20.769,76.157652
rtl/generated/strict_v2_20260920/candidate_013.v,carry_select,2,case,True,True,141,176.092,7.57203,0,2.40774e-05,21.11,75.544208
rtl/generated/strict_v2_20260920/candidate_014.v,carry_select,4,explicit_else,True,True,144,168.112,7.60849,0,2.3082e-05,20.968,75.916788
rtl/generated/strict_v2_20260920/candidate_015.v,chunked,2,ternary,True,True,111,138.852,7.35951,0,1.93918e-05,20.597,73.456248
rtl/generated/strict_v2_20260920/candidate_016.v,chunked,1,case,True,True,111,138.852,7.3328,0,1.9455e-05,21.075,73.189148
rtl/generated/strict_v2_20260920/candidate_017.v,carry_select,7,case,True,True,156,178.486,7.61822,0,2.32125e-05,21.415,76.003714
rtl/generated/strict_v2_20260920/candidate_018.v,chunked,4,implicit_if,True,True,133,157.206,7.49696,0,2.16913e-05,20.916,74.812394
rtl/generated/strict_v2_20260920/candidate_019.v,chunked,1,ternary,True,True,111,138.852,7.3328,0,1.9455e-05,21.066,73.189148
rtl/generated/strict_v2_20260920/candidate_020.v,ripple,0,case,True,True,111,138.852,7.33351,0,1.9613e-05,20.859,73.196248
rtl/generated/strict_v2_20260920/candidate_021.v,carry_select,7,implicit_if,True,True,156,178.486,7.61822,0,2.32125e-05,21.211,76.003714
rtl/generated/strict_v2_20260920/candidate_022.v,carry_select,1,case,True,True,148,185.934,7.51241,0,2.57221e-05,21.781,74.938166
rtl/generated/strict_v2_20260920/candidate_023.v,carry_select,5,case,True,True,143,167.048,7.63247,0,2.26438e-05,20.986,76.157652
rtl/generated/strict_v2_20260920/candidate_024.v,chunked,2,implicit_if,True,True,111,138.852,7.35951,0,1.93918e-05,20.666,73.456248
rtl/generated/strict_v2_20260920/candidate_025.v,ripple,0,explicit_else,True,True,111,138.852,7.33351,0,1.9613e-05,20.922,73.196248
rtl/generated/strict_v2_20260920/candidate_026.v,chunked,2,explicit_else,True,True,111,138.852,7.35951,0,1.93918e-05,20.629,73.456248
rtl/generated/strict_v2_20260920/candidate_027.v,carry_select,4,case,True,True,144,168.112,7.60849,0,2.3082e-05,21.096,75.916788
rtl/generated/strict_v2_20260920/candidate_028.v,ripple,0,ternary,True,True,111,138.852,7.33351,0,1.9613e-05,21.104,73.196248
rtl/generated/strict_v2_20260920/candidate_029.v,behavioral,0,ternary,True,True,156,178.22,7.62411,0,2.32793e-05,21.718,76.06288
